KodeBPS,KodeProv,NamaProv,KabKot,Kategori,Produk,Harga,Tahun,Bulan
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,160000,2022,Desember
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,160000,2023,Januari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,160000,2023,Februari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,169677,2023,Maret
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,184400,2023,April
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,162000,2023,Mei
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,173929,2023,Juni
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,Juli
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,Agustus
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,September
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,Oktober
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,November
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,Desember
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,Januari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,Februari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,175484,2024,Maret
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,172222,2024,April
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,Mei
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,177778,2024,Juni
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,Juli
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,Agustus
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,September
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,Oktober
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,November
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,Desember
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2025,Januari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,171154,2025,Februari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,173214,2025,Maret
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,171786,2025,April
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2025,Mei
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,172000,2025,Juni
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2025,Juli
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2025,Agustus
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2025,September
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2025,Oktober
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,148276,2022,Januari
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150000,2022,Februari
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150345,2022,Maret
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,152000,2022,April
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,157742,2022,Mei
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,153103,2022,Juni
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,153966,2022,Juli
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,160333,2022,Agustus
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150167,2022,September
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,153333,2022,Oktober
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150690,2022,November
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,149688,2022,Desember
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,147576,2023,Januari
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,149655,2023,Februari
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,151667,2023,Maret
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,151600,2023,April
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150000,2023,Mei
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,151071,2023,Juni
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150000,2023,Juli
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,152222,2023,Agustus
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,151111,2023,September
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150333,2023,Oktober
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150000,2023,November
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,153871,2023,Desember
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150000,2024,Januari
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150000,2024,Februari
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,151613,2024,Maret
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150769,2024,April
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,149355,2024,Mei
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,149643,2024,Juni
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150000,2024,Juli
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,149355,2024,Agustus
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,149667,2024,September
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150000,2024,Oktober
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,150000,2024,November
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,149615,2024,Desember
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,140000,2025,Januari
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,141013,2025,Februari
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,142683,2025,Maret
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,141341,2025,April
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,143523,2025,Mei
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,146184,2025,Juni
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,146145,2025,Juli
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,142500,2025,Agustus
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,140694,2025,September
11.06,11,Aceh,Kab. Aceh Besar,Protein,Daging Sapi Murni,141212,2025,Oktober
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,NA,2022,Januari
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,NA,2022,Februari
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,170000,2022,Maret
